study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	marker_decision_score	marker_base_score	negative_marker_penalty	confound_marker_penalty	marker_penalty	marker_discriminative_score	marker_gate_score	key_marker_bonus	marker_any_fraction	marker_mean_positive_fraction	key_marker_any_fraction	key_marker_two_fraction	key_marker_max_fraction	key_marker_enrichment	negative_marker_any_fraction	negative_marker_mean_positive_fraction	confound_marker_any_fraction	confound_marker_mean_positive_fraction	available_negative_markers	available_confound_markers	available_policy_required_markers	policy_required_any_fraction	policy_required_mean_positive_fraction	ref_fraction	raw_fraction	screfmapping_fraction	total_score
vaccination_study_10	Myeloid_lineage	0	Non-Classical Monocyte	1	859	0.9883395424217549	0.9976717112922002	1.0	0.041641443538998846	0.12660069848661235	0.1682421420256112	0.8317578579743888	0.8317578579743888	0.0	1.0	0.8011253395421033	0.9976717112922002	0.910360884749709	0.9871944121071012	1.7625244535818385	0.08498253783469151	0.042491268917345754	0.3189755529685681	0.20605355064027941	VCAN;CD1C	NKG7;GNLY		0.0	0.0	0.0	0.0	0.0	0.8317578579743888
vaccination_study_10	Myeloid_lineage	0	Intermediate Monocyte	2	859	0.9636926185514934	0.9918509895227008	1.0	0.11320139697322468	0.3762223515715949	0.48942374854481957	0.5105762514551804	0.5105762514551804	0.0	1.0	0.8623399301513388	0.9918509895227008	0.9022118742724098	0.9010477299185099	1.0269003586197043	0.23050058207217694	0.11641443538998836	0.989522700814901	0.5291036088474971	CD1C;NKG7	VCAN;FCGR3A		0.0	0.0	0.0	0.0	0.0	0.5105762514551804
vaccination_study_10	Myeloid_lineage	0	Classical Monocyte	3	859	0.8846372419018753	0.8846372419018753	0.770663562281723	0.5	0.3577997671711292	0.6	0.17066356228172297	0.17066356228172297	0.0	1.0	0.6814901047729919	0.770663562281723	0.05355064027939464	0.7532013969732246	0.9267156422406764	0.9976717112922002	0.63407062475747	0.7951105937136205	0.7951105937136205	FCGR3A;MS4A7;CD1C	HLA-DRA		0.0	0.0	0.0	0.0	0.0	0.17066356228172297
vaccination_study_10	Myeloid_lineage	0	Neutrophil	4	859	0.8629790995769401	0.8629790995769401	0.32353511835467597	0.020663562281722933	0.4314901047729919	0.4521536670547148	0.0	0.0	0.0	0.5366705471478463	0.20876988746604577	0.5366705471478463	0.0	0.20876988746604577	0.7333400256683458	0.04190919674039581	0.02153667054714785	1.0	0.8766006984866124	MS4A1;CD79A	FCN1;LST1		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	Myeloid_lineage	0	Eosinophil	5	859	0.5000105238786807	0.5000105238786807	0.0	0.011175785797438883	0.0	0.011175785797438883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.018626309662398137	0.018626309662398137	0.0	0.0	MS4A1			0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	Myeloid_lineage	0	Basophil	6	859	0.07829765738460567	0.11059371362048893	0.11059371362048895	0.4920488940628638	0.009953434225844004	0.5020023282887078	0.0	0.0	0.0	0.11059371362048893	0.11059371362048893	0.11059371362048893	0.0	0.11059371362048893	1.1661447488882937	1.0	0.5093131548311991	0.02211874272409779	0.02211874272409779	MS4A1;LST1	FCER1A		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	Myeloid_lineage	0	Mast Cell	7	859	0.5000105238786807	0.5000105238786807	0.0	0.4920488940628638	0.0	0.4920488940628638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.5093131548311991	0.0	0.0	MS4A1;LST1			0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	Myeloid_lineage	0	Plasmacytoid DC	8	859	0.07246742859548315	0.16996507566938301	0.16996507566938301	0.3482654249126892	0.007421420256111757	0.35568684516880095	0.0	0.0	0.0	0.4528521536670547	0.09080325960419093	0.16996507566938301	0.004656577415599534	0.11059371362048893	0.6247597207464513	0.7648428405122235	0.2619324796274738	0.01979045401629802	0.00989522700814901	MS4A1;CD1C;FCN1	MZB1;PRDM1		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	Myeloid_lineage	0	Conventional DC 1	9	859	0.07905537664961798	0.1839348079161816	0.12415599534342259	0.013259604190919674	0.3577997671711292	0.37105937136204886	0.0	0.0	0.0	0.1839348079161816	0.0919674039580908	0.1839348079161816	0.0	0.0919674039580908	0.8769821972077078	0.024447031431897557	0.018044237485448197	0.7951105937136205	0.7951105937136205	CD1C;FCER1A	HLA-DRA		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	Myeloid_lineage	0	Conventional DC 2	10	859	0.4679968849319105	0.4679968849319105	0.02677532013969732	0.015366705471478462	0.4314901047729919	0.4468568102444703	0.0	0.0	0.0	0.9918509895227008	0.36554132712456344	0.02677532013969732	0.012805587892898719	0.02211874272409779	0.07215257174459293	0.025611175785797437	0.025611175785797437	1.0	0.8766006984866124	LILRA4	FCN1;LST1		0.0	0.0	0.0	0.0	0.0	0.0
