study	predicted_cell_type	n_cells	median_source_agreement_fraction	source_disagreement_flag_n	source_disagreement_flag_fraction
vaccination_study_06	B Cell	221	0.0	196	0.8868778280542986
vaccination_study_06	Blood Cell	821	0.25	648	0.7892813641900122
vaccination_study_06	CD4 Naive / T Central Memory	33258	0.6	8075	0.2427987251187684
vaccination_study_06	CD8 Cytotoxic / T Effector Memory	3476	1.0	586	0.16858457997698503
vaccination_study_06	CD8 Naive / T Central Memory	1	0.6	0	0.0
vaccination_study_06	Classical Monocyte	23	0.25	22	0.9565217391304348
vaccination_study_06	Conventional DC 2	77	0.0	74	0.961038961038961
vaccination_study_06	Doublet	1502	0.0	1502	1.0
vaccination_study_06	Intermediate Monocyte	48	0.0	48	1.0
vaccination_study_06	MAIT Cell	2455	0.0	1551	0.6317718940936864
vaccination_study_06	Memory B Cell	2801	0.4	2335	0.8336308461263834
vaccination_study_06	Myeloid Cell	256	0.0	256	1.0
vaccination_study_06	NK Cell	11640	0.75	2647	0.22740549828178694
vaccination_study_06	Naive B Cell	840	0.2	770	0.9166666666666666
