study	lineage	cluster	n_cells	chosen_label	cluster_marker_gene_assignment	cluster_marker_raw_winner	cluster_marker_assignment_reason	marker_assignment_score	marker_assignment_base_score	marker_assignment_penalty	negative_marker_penalty	confound_marker_penalty	best_total_score	score_margin	top_celltypist	top_panhuman_fine	top_screfmapping	feedback_flags
vaccination_study_06	B_lineage	2	179	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.16329608938547485	0.2011173184357542	0.037821229050279334	0.025251396648044693	0.012569832402234637	2.5899441340782126	1.5327932960893857	B Cell:117; Memory B Cell:58; CD4 Naive / T Central Memory:2; CD8 Cytotoxic / T Effector Memory:1; Naive B Cell:1	Memory B Cell:147; Blood Cell:23; B Cell:3; Treg:2; Plasma Cell:1	Naive B Cell:129; Memory B Cell:37; not_available:7; Plasma Cell:4; CD4 T Effector Memory:1	marker_final_disagreement;weak_marker_specificity
vaccination_study_06	B_lineage	20	42	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.27249999999999996	0.38095238095238093	0.10845238095238094	0.08166666666666667	0.02678571428571428	3.0285714285714285	2.0370238095238093	Memory B Cell:22; B Cell:20	Memory B Cell:40; Naive B Cell:1; Blood Cell:1	Naive B Cell:23; Memory B Cell:15; Plasma Cell:2; not_available:2	marker_final_disagreement;weak_marker_specificity
vaccination_study_06	B_lineage	21	28	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.3604420304351704	0.45722774472088473	0.09678571428571428	0.06999999999999999	0.02678571428571428	3.1690236435668737	1.9300101845602748	B Cell:17; Memory B Cell:8; Naive B Cell:3	Memory B Cell:25; Blood Cell:3	Naive B Cell:14; Memory B Cell:13; Treg:1	marker_final_disagreement
vaccination_study_06	B_lineage	5	173	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.21846820809248557	0.3179190751445087	0.09945086705202312	0.07994219653179191	0.01950867052023121	3.1734104046242777	2.4069653179190755	B Cell:173	Memory B Cell:172; Blood Cell:1	Memory B Cell:84; Naive B Cell:79; Plasma Cell:10	marker_final_disagreement;weak_marker_specificity
vaccination_study_06	B_lineage	6	165	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.08418181818181819	0.1393939393939394	0.05521212121212121	0.04157575757575758	0.013636363636363636	2.627878787878788	1.6467272727272728	Memory B Cell:81; B Cell:80; CD4 Naive / T Central Memory:2; CD8 Cytotoxic / T Effector Memory:1; Naive B Cell:1	Memory B Cell:137; Blood Cell:20; Plasma Cell:3; B Cell:2; Platelet:1	Naive B Cell:119; Memory B Cell:29; not_available:8; Plasma Cell:6; CD4 Naive / T Central Memory:2	marker_final_disagreement;weak_marker_specificity
vaccination_study_06	B_lineage	7	144	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.12878472222222223	0.19444444444444445	0.06565972222222222	0.05784722222222222	0.007812499999999999	2.8888888888888893	2.082326388888889	Memory B Cell:75; B Cell:62; CD4 Naive / T Central Memory:3; NK Cell:2; CD8 Cytotoxic / T Effector Memory:1	Memory B Cell:131; Blood Cell:10; Plasma Cell:1; Naive B Cell:1; CD4 T Cell (ab):1	Naive B Cell:77; Memory B Cell:53; Plasma Cell:6; not_available:5; CD4 Naive / T Central Memory:2	marker_final_disagreement;weak_marker_specificity
vaccination_study_06	B_lineage	8	141	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.29304964539007095	0.3546099290780142	0.061560283687943265	0.024326241134751774	0.03723404255319149	2.849645390070922	1.4218439716312057	B Cell:88; Memory B Cell:31; Naive B Cell:20; CD4 Naive / T Central Memory:2	Memory B Cell:127; Blood Cell:12; CD4 T Cell (ab):1; CD4 Naive / T Central Memory:1	Naive B Cell:90; Memory B Cell:39; Plasma Cell:4; not_available:3; CD4 Naive / T Central Memory:3	marker_final_disagreement;weak_marker_specificity
vaccination_study_06	B_lineage	9	135	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.11385185185185187	0.16296296296296298	0.04911111111111111	0.043555555555555556	0.005555555555555556	2.785185185185185	1.9483703703703703	B Cell:99; Memory B Cell:33; CD4 Naive / T Central Memory:2; Naive B Cell:1	Memory B Cell:118; Blood Cell:9; B Cell:4; Plasma Cell:2; Naive B Cell:1	Naive B Cell:77; Memory B Cell:42; Plasma Cell:11; not_available:4; CD4 Naive / T Central Memory:1	marker_final_disagreement;weak_marker_specificity
vaccination_study_06	T_NK_lineage	14	2123	NK Cell	NK Cell	NKT Cell	conservative_policy_blocks_raw_marker_winner	0.9155134243994347	1.0	0.08448657560056524	0.003692887423457372	0.08079368817710787	3.161998586905323	1.6555925577013664	NK Cell:1190; CD8 Cytotoxic / T Effector Memory:798; gdT Cell:132; MAIT Cell:2; T Cell:1	NK Cell:1749; Blood Cell:189; T Cell:86; CD8 Cytotoxic / T Effector Memory:77; CD8 T Cell (ab):17	not_available:2121; CD4 Naive / T Central Memory:1; CD4 T Effector Memory:1	screfmapping_missing_for_scope
vaccination_study_06	T_NK_lineage	15	1538	MAIT Cell	MAIT Cell	NKT Cell	conservative_policy_blocks_raw_marker_winner	0.7777080624187256	1.0	0.22229193758127436	0.04064369310793238	0.181648244473342	2.589850455136541	1.3874967490247074	MAIT Cell:1046; CD8 Cytotoxic / T Effector Memory:338; CD4 T Effector Memory:138; NK Cell:11; CD4 Naive / T Central Memory:4	MAIT Cell:476; Blood Cell:342; CD4 T Cell (ab):296; CD8 Cytotoxic / T Effector Memory:188; gdT Cell:102	not_available:1380; CD4 T Effector Memory:97; CD4 Naive / T Central Memory:59; Treg:2	screfmapping_missing_for_scope
