tool	covered_n	coverage_fraction	exact_final_concordance	broad_final_concordance	top_supported_labels	top_disagreements
CellTypist	43767	1.0	0.6790275778554619	0.9012954966070327	CD4 Naive / T Central Memory: 12,503; Classical Monocyte: 9,552; NK Cell: 6,118; CD8 Cytotoxic / T Effector Memory: 5,485; Plasma Cell: 1,967	NK Cell vs CD8 Cytotoxic / T Effector Memory: 1,508; CD8 Cytotoxic / T Effector Memory vs CD4 Naive / T Central Memory: 1,047; Classical Monocyte vs CD4 Naive / T Central Memory: 993; NK Cell vs CD4 Naive / T Central Memory: 984; CD8 Cytotoxic / T Effector Memory vs NK Cell: 778
Azimuth PBMC L2	43767	1.0	0.6835058377316243	0.9640139831379807	Classical Monocyte: 10,831; CD4 Naive / T Central Memory: 8,045; CD8 Cytotoxic / T Effector Memory: 6,760; NK Cell: 6,131; Plasmablast: 2,647	Plasma Cell vs Plasmablast: 2,632; NK Cell vs CD8 Cytotoxic / T Effector Memory: 1,410; Memory B Cell vs B Cell: 1,171; CD4 Naive / T Central Memory vs CD8 Cytotoxic / T Effector Memory: 1,086; CD4 Naive / T Central Memory vs CD8 Naive / T Central Memory: 986
Azimuth PBMC L3	43767	1.0	0.36797130257956906	0.4542691982543926	Blood Cell: 22,860; Classical Monocyte: 10,878; CD4 Naive / T Central Memory: 2,031; Plasma Cell: 1,905; Non-Classical Monocyte: 1,428	CD4 Naive / T Central Memory vs Blood Cell: 7,195; NK Cell vs Blood Cell: 6,624; CD8 Cytotoxic / T Effector Memory vs Blood Cell: 5,130; Naive B Cell vs Blood Cell: 1,525; Memory B Cell vs Blood Cell: 1,476
Pan-human Azimuth fine	43767	1.0	0.6437270089336715	0.8454771860077227	Classical Monocyte: 8,481; Blood Cell: 6,449; NK Cell: 5,824; CD8 Cytotoxic / T Effector Memory: 4,725; CD4 Naive / T Central Memory: 4,518	CD4 Naive / T Central Memory vs Blood Cell: 1,826; CD4 Naive / T Central Memory vs CD4 T Effector Memory: 1,500; Classical Monocyte vs Blood Cell: 1,344; NK Cell vs Blood Cell: 1,161; CD8 Cytotoxic / T Effector Memory vs Blood Cell: 1,029
Pan-human Azimuth medium	43767	1.0	0.12776749605867435	0.8541138300546074	T Cell: 13,026; Monocyte: 10,425; B Cell: 6,116; NK Cell: 5,824; Blood Cell: 5,612	Classical Monocyte vs Monocyte: 9,056; CD4 Naive / T Central Memory vs T Cell: 8,427; CD8 Cytotoxic / T Effector Memory vs T Cell: 3,672; Plasma Cell vs B Cell: 3,118; CD4 Naive / T Central Memory vs Blood Cell: 1,578
Cluster consensus	43767	1.0	0.7486690885827222	0.9417597733452144	Classical Monocyte: 9,773; CD4 Naive / T Central Memory: 8,079; NK Cell: 7,327; CD8 Cytotoxic / T Effector Memory: 6,384; B Cell: 3,663	Naive B Cell vs B Cell: 1,538; Memory B Cell vs B Cell: 1,477; CD4 Naive / T Central Memory vs CD8 Cytotoxic / T Effector Memory: 1,160; NK Cell vs CD8 Cytotoxic / T Effector Memory: 918; Classical Monocyte vs Blood Cell: 896
Marker score	43767	1.0	0.227111750862522	0.9397719743185505	Monocyte: 12,635; NK Cell: 8,772; T Cell: 5,929; CD4 T Cell (ab): 5,917; B Cell: 3,736	Classical Monocyte vs Monocyte: 10,586; CD4 Naive / T Central Memory vs CD4 T Cell (ab): 5,351; CD4 Naive / T Central Memory vs T Cell: 3,412; CD8 Cytotoxic / T Effector Memory vs NK Cell: 1,899; CD8 Cytotoxic / T Effector Memory vs T Cell: 1,846
screfmap scoped	14670	0.33518404277195146	0.7382413087934561	0.9644853442399455	CD4 Naive / T Central Memory: 6,784; Naive B Cell: 2,408; Plasma Cell: 2,037; Memory B Cell: 1,892; CD4 T Effector Memory: 1,037	CD4 Naive / T Central Memory vs CD4 T Effector Memory: 662; Plasma Cell vs Memory B Cell: 602; Plasma Cell vs Naive B Cell: 552; CD4 Naive / T Central Memory vs Treg: 443; Memory B Cell vs Naive B Cell: 405
