study	lineage	cluster	n_cells	chosen_label	cluster_marker_gene_assignment	cluster_marker_raw_winner	cluster_marker_assignment_reason	marker_assignment_score	marker_assignment_base_score	marker_assignment_penalty	negative_marker_penalty	confound_marker_penalty	best_total_score	score_margin	top_celltypist	top_panhuman_fine	top_screfmapping	feedback_flags
vaccination_study_09	B_lineage	18	266	Plasma Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.011503759398496238	0.022556390977443608	0.01105263157894737	0.01105263157894737	0.0	2.47218045112782	1.2960150375939854	Plasma Cell:252; Memory B Cell:6; Classical Monocyte:5; Blood Cell:3	Blood Cell:265; Memory B Cell:1	Memory B Cell:243; Naive B Cell:14; not_available:7; Plasma Cell:2	marker_final_disagreement;weak_marker_specificity
vaccination_study_09	B_lineage	20	159	Plasma Cell	Plasmablast	Plasmablast	raw_marker_winner	0.6668134171907757	1.0	0.3331865828092243	0.15048218029350105	0.18270440251572326	4.193710691823899	1.908029350104821	Plasma Cell:153; Plasmablast:3; B Cell:3	Plasma Cell:158; Blood Cell:1	Plasma Cell:159	marker_final_disagreement
vaccination_study_09	B_lineage	26	20	B Cell	Plasmablast	Plasmablast	raw_marker_winner	0.6666666666666667	1.0	0.3333333333333333	0.29833333333333334	0.034999999999999996	0.6816249999999999	0.014958333333333185	Blood Cell:15; Naive B Cell:2; Plasma Cell:1; T Cell:1; Lymphoid Cell:1	Blood Cell:20	not_available:17; Naive B Cell:3	marker_final_disagreement;screfmapping_missing_for_scope
vaccination_study_09	T_NK_lineage	0	3302	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	NKT Cell	source_supported_marker_tiebreak	0.8001817080557239	1.0	0.1998182919442762	0.04504845548152635	0.15476983646274983	3.127443973349485	0.7631798909751666	NK Cell:2483; CD8 Cytotoxic / T Effector Memory:711; Blood Cell:53; CD4 Naive / T Central Memory:27; MAIT Cell:16	CD8 Cytotoxic / T Effector Memory:3081; Blood Cell:176; NK Cell:35; Lymphoid Cell:8; CD4 T Effector Memory:1	not_available:3302	screfmapping_missing_for_scope
vaccination_study_09	T_NK_lineage	2	6316	MAIT Cell	NKT Cell	NKT Cell	raw_marker_winner	0.8066996516782774	1.0	0.1933003483217226	0.11904844838505382	0.07425189993666878	2.535337238758708	0.7102889487017101	MAIT Cell:3884; NK Cell:871; CD4 Naive / T Central Memory:747; CD8 Cytotoxic / T Effector Memory:644; Blood Cell:79	CD8 Cytotoxic / T Effector Memory:2272; MAIT Cell:1922; Blood Cell:1155; CD4 T Effector Memory:677; CD4 Naive / T Central Memory:215	not_available:5871; CD4 T Effector Memory:418; CD4 Naive / T Central Memory:27	marker_final_disagreement;screfmapping_missing_for_scope
vaccination_study_09	T_NK_lineage	3	11776	CD8 Naive / T Central Memory	CD8 Naive / T Central Memory	CD8 Naive / T Central Memory	raw_marker_winner	0.9039116507398051	0.9952478429952398	0.09133619225543478	0.08717094089673913	0.004165251358695651	2.7748355637832836	0.4507597190198944	CD4 Naive / T Central Memory:6111; CD8 Naive / T Central Memory:5504; CD8 Cytotoxic / T Effector Memory:41; Blood Cell:33; Plasma Cell:24	CD4 Naive / T Central Memory:6857; CD8 Naive / T Central Memory:3784; Blood Cell:1082; CD4 T Effector Memory:42; CD8 Cytotoxic / T Effector Memory:9	not_available:9760; CD4 Naive / T Central Memory:1918; CD4 T Effector Memory:68; Treg:30	screfmapping_missing_for_scope
vaccination_study_09	T_NK_lineage	4	13847	CD4 Naive / T Central Memory	NKT Cell	NKT Cell	raw_marker_winner	0.7228681302809272	0.8085505885751426	0.08568245829421535	0.07406441828554922	0.011618040008666137	3.297661832870897	2.1563315808307437	CD4 Naive / T Central Memory:11253; CD4 T Effector Memory:1450; Treg:669; CD8 Cytotoxic / T Effector Memory:118; MAIT Cell:112	CD4 Naive / T Central Memory:7665; CD4 T Effector Memory:5036; Blood Cell:654; Treg:394; CD8 Cytotoxic / T Effector Memory:54	CD4 Naive / T Central Memory:8296; not_available:3196; CD4 T Effector Memory:1856; Treg:499	marker_final_disagreement
vaccination_study_09	T_NK_lineage	5	3152	NK Cell	NK Cell	NKT Cell	source_supported_marker_tiebreak	0.9165958121827411	1.0	0.08340418781725889	0.05356598984771574	0.029838197969543147	3.3517258883248733	2.125266497461929	NK Cell:2905; CD4 Naive / T Central Memory:131; Blood Cell:76; Plasma Cell:12; CD8 Cytotoxic / T Effector Memory:11	NK Cell:2298; Blood Cell:651; CD8 Cytotoxic / T Effector Memory:186; CD4 Naive / T Central Memory:7; Lymphoid Cell:6	not_available:3151; CD4 Naive / T Central Memory:1	screfmapping_missing_for_scope
vaccination_study_09	T_NK_lineage	7	4607	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	raw_marker_winner	0.7137516447022886	0.996831740209126	0.28308009550683744	0.20148686780985456	0.08159322769698285	2.7651516881144875	1.8869183559262874	CD8 Cytotoxic / T Effector Memory:2563; CD4 Naive / T Central Memory:1262; NK Cell:308; Blood Cell:157; CD8 Naive / T Central Memory:123	CD8 Cytotoxic / T Effector Memory:2374; Blood Cell:1000; CD4 Naive / T Central Memory:817; CD4 T Effector Memory:213; CD8 Naive / T Central Memory:173	not_available:4209; CD4 T Effector Memory:317; CD4 Naive / T Central Memory:77; Treg:4	screfmapping_missing_for_scope
vaccination_study_09	T_NK_lineage	8	5821	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	NKT Cell	source_supported_marker_tiebreak	0.7850317814808452	1.0	0.2149682185191548	0.045925098780278305	0.16904311973887648	3.22435663975262	1.4445937124205463	NK Cell:3041; CD8 Cytotoxic / T Effector Memory:2036; CD4 Naive / T Central Memory:521; Blood Cell:120; MAIT Cell:23	CD8 Cytotoxic / T Effector Memory:5116; Blood Cell:657; Lymphoid Cell:18; CD4 Naive / T Central Memory:14; CD4 T Effector Memory:6	not_available:5820; CD4 T Effector Memory:1	screfmapping_missing_for_scope
vaccination_study_09	T_NK_lineage	9	6222	NK Cell	NK Cell	NKT Cell	source_supported_marker_tiebreak	0.9209426229508196	1.0	0.07905737704918034	0.04825940212150434	0.03079797492767599	3.436423979427837	2.5154813564770175	NK Cell:6161; Blood Cell:36; CD4 Naive / T Central Memory:9; CD8 Cytotoxic / T Effector Memory:9; T Cell:2	NK Cell:5840; Blood Cell:231; CD8 Cytotoxic / T Effector Memory:90; Lymphoid Cell:61	not_available:6222	screfmapping_missing_for_scope
vaccination_study_09	Myeloid_lineage	22	52	Conventional DC 1	Intermediate Monocyte	Intermediate Monocyte	raw_marker_winner	0.8565064102564103	1.0	0.14349358974358975	0.10743589743589745	0.03605769230769231	2.9115384615384614	1.2923076923076922	Conventional DC 1:48; Blood Cell:2; DC:2	Conventional DC 1:48; Blood Cell:3; Conventional DC 2:1	not_available:52	marker_final_disagreement
vaccination_study_09	Myeloid_lineage	9	1701	Classical Monocyte	Intermediate Monocyte	Intermediate Monocyte	raw_marker_winner	0.6574573780129336	1.0	0.3425426219870664	0.05440329218106996	0.2881393298059965	2.9320399764844205	2.272701352145796	Classical Monocyte:1486; Non-Classical Monocyte:133; Blood Cell:75; Myeloid Cell:6; Plasma Cell:1	Classical Monocyte:1471; Blood Cell:214; Non-Classical Monocyte:12; Conventional DC 2:2; Intermediate Monocyte:2	not_available:1701	marker_final_disagreement
