study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	marker_decision_score	marker_base_score	negative_marker_penalty	confound_marker_penalty	marker_penalty	marker_discriminative_score	marker_gate_score	key_marker_bonus	marker_any_fraction	marker_mean_positive_fraction	key_marker_any_fraction	key_marker_two_fraction	key_marker_max_fraction	key_marker_enrichment	negative_marker_any_fraction	negative_marker_mean_positive_fraction	confound_marker_any_fraction	confound_marker_mean_positive_fraction	available_negative_markers	available_confound_markers	ref_fraction	raw_fraction	screfmapping_fraction	total_score
vaccination_study_09	B_lineage	18	Plasma Cell	3	296	0.3629572735067162	0.44256756756756754	0.6925675675675675	0.4974324324324324	0.19763513513513514	0.6	0.09256756756756757	0.09256756756756757	0.0	0.5304054054054054	0.11092342342342343	0.44256756756756754	0.05405405405405406	0.2905405405405405	2.077528067156534	1.0	0.5337837837837838	0.5709459459459459	0.17567567567567566	MS4A1;CD79A;CD3D;LST1	LILRA4;CLEC4C;IRF7;TCF4	0.0033783783783783786	0.0	0.0	0.09797297297297297
vaccination_study_09	B_lineage	19	Plasma Cell	1	263	0.3629572735067162	0.3629572735067162	0.2922604589830724	0.2921482889733841	0.02723384030418251	0.3193821292775666	0.0	0.0	0.0	0.2585551330798479	0.051964512040557666	0.24714828897338403	0.034220532319391636	0.16730038022813687	1.1804486800387535	0.6273764258555133	0.24429657794676804	0.07984790874524715	0.021863117870722433	MS4A1;CD79A;CD3D;LST1	LILRA4;CLEC4C;IRF7;TCF4	0.6083650190114068	0.6273764258555133	0.0038022813688212928	1.60532319391635
vaccination_study_09	B_lineage	19	Memory B Cell	2	263	0.3487532152043441	0.3487532152043441	0.1596958174904943	0.0790874524714829	0.0	0.0790874524714829	0.0806083650190114	0.0806083650190114	0.0	0.38783269961977185	0.09402004839267196	0.1596958174904943	0.03802281368821293	0.13307984790874525	0.5544160497261383	0.1596958174904943	0.08365019011406845	0.0	0.0	TCL1A;MZB1		0.23574144486692014	0.21673003802281368	0.07224334600760456	0.7612167300380228
vaccination_study_09	B_lineage	19	Naive B Cell	3	263	0.45436196056016004	0.45436196056016004	0.2813688212927757	0.07723700887198985	0.027946768060836503	0.10518377693282635	0.17618504435994933	0.17618504435994933	0.0	0.33079847908745247	0.15860945138511676	0.14068441064638784	0.14068441064638784	0.14068441064638784	0.26145883896823574	0.16730038022813687	0.06210392902408112	0.07984790874524715	0.02661596958174905	CD27;TNFRSF13B;MZB1	FCRL5;ITGAX;TBX21	0.17490494296577946	0.13688212927756654	0.09885931558935361	0.7115462610899873
vaccination_study_09	B_lineage	2	Naive B Cell	1	1330	0.9707809374106888	0.9707809374106888	1.0	0.11622556390977445	0.08842105263157896	0.2046466165413534	0.7953533834586466	0.7953533834586466	0.0	0.9977443609022556	0.7354457572502684	0.9007518796992481	0.9007518796992481	0.9007518796992481	1.5802837734363329	0.2518796992481203	0.09323308270676693	0.2518796992481203	0.0857142857142857	CD27;TNFRSF13B;MZB1	FCRL5;ITGAX;TBX21	0.975187969924812	0.9172932330827067	0.9142857142857143	4.37009022556391
vaccination_study_09	B_lineage	2	Memory B Cell	2	1330	0.3487532152043441	0.3487532152043441	0.31412954416797356	0.46754887218045116	0.0	0.46754887218045116	0.0	0.0	0.0	0.9954887218045113	0.3428571428571429	0.30601503759398496	0.02706766917293233	0.24060150375939848	1.0324580262959544	0.9165413533834587	0.5421052631578948	0.0	0.0	TCL1A;MZB1		0.12857142857142856	0.12330827067669173	0.07969924812030076	0.42466165413533835
vaccination_study_09	B_lineage	2	Plasma Cell	3	1330	0.3629572735067162	0.3629572735067162	0.2814298842876527	0.4912744360902256	0.14250000000000002	0.6	0.0	0.0	0.0	0.3007518796992481	0.05676691729323307	0.24210526315789474	0.018796992481203006	0.18345864661654135	1.1572984845190317	0.9932330827067669	0.5174812030075188	0.4142857142857143	0.12142857142857143	MS4A1;CD79A;CD3D;LST1	LILRA4;CLEC4C;IRF7;TCF4	0.0007518796992481203	0.0007518796992481203	0.0007518796992481203	0.0028571428571428576
vaccination_study_09	B_lineage	20	Naive B Cell	1	183	0.9184945698771078	0.9184945698771078	0.8633879781420765	0.14633879781420767	0.0633879781420765	0.20972677595628417	0.6536612021857923	0.6536612021857923	0.0	0.994535519125683	0.5441061670569868	0.43169398907103823	0.43169398907103823	0.43169398907103823	0.7664017602509078	0.30601092896174864	0.1366120218579235	0.18032786885245902	0.061930783242258654	CD27;TNFRSF13B;MZB1	FCRL5;ITGAX;TBX21	0.8469945355191257	0.7595628415300546	0.5683060109289617	3.4503825136612023
vaccination_study_09	B_lineage	20	Memory B Cell	2	183	0.3487532152043441	0.3487532152043441	0.3339775899684965	0.26961748633879784	0.0	0.26961748633879784	0.06436010362969868	0.06436010362969868	0.0	0.994535519125683	0.30501738698460007	0.31693989071038253	0.08196721311475409	0.17486338797814208	1.068150797032456	0.5355191256830601	0.3005464480874317	0.0	0.0	TCL1A;MZB1		0.4371584699453552	0.3224043715846995	0.3770491803278688	1.5386770435204091
vaccination_study_09	B_lineage	20	Plasma Cell	3	183	0.3629572735067162	0.3629572735067162	0.24264028764019205	0.4694262295081967	0.07499999999999998	0.5444262295081966	0.0	0.0	0.0	0.26229508196721313	0.04918032786885246	0.22404371584699453	0.0	0.16939890710382513	1.07438628717279	0.9672131147540983	0.46311475409836067	0.2185792349726776	0.06284153005464481	MS4A1;CD79A;CD3D;LST1	LILRA4;CLEC4C;IRF7;TCF4	0.01092896174863388	0.01092896174863388	0.0	0.028415300546448086
vaccination_study_09	B_lineage	21	Plasma Cell	1	159	0.9994355530151472	1.0	1.0	0.444811320754717	0.23396226415094337	0.6	0.4	0.4	0.0	1.0	0.660377358490566	1.0	1.0	0.9937106918238994	4.636442154054326	0.9748427672955975	0.3380503144654088	0.6729559748427673	0.2138364779874214	MS4A1;CD79A;CD3D;LST1	LILRA4;CLEC4C;IRF7;TCF4	1.0	1.0	1.0	4.2
vaccination_study_09	B_lineage	21	Memory B Cell	2	159	0.9979851386110318	0.9979851386110318	1.0	0.48761006289308173	0.0	0.48761006289308173	0.5123899371069183	0.5123899371069183	0.0	1.0	0.38936535162950253	0.9685534591194969	0.779874213836478	0.9119496855345912	3.197048408581253	0.9937106918238994	0.5	0.0	0.0	TCL1A;MZB1		0.0	0.0	0.0	0.5123899371069183
