study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	ref_fraction	raw_fraction	screfmapping_fraction	total_score
vaccination_study_04	Myeloid_lineage	14	Conventional DC 2	2	2100	0.7577688639975781	0.0	0.0	0.0	0.7577688639975781
vaccination_study_04	Myeloid_lineage	14	Conventional DC 1	3	2100	0.41090592598198744	0.008571428571428572	0.0	0.0	0.4246202116962732
vaccination_study_04	Myeloid_lineage	14	Intermediate Monocyte	4	2100	0.050790887762052525	0.0	0.0	0.0	0.050790887762052525
vaccination_study_04	Myeloid_lineage	14	Non-Classical Monocyte	5	2100	0.04426700976311208	0.0	0.0	0.0	0.04426700976311208
vaccination_study_04	Myeloid_lineage	14	Classical Monocyte	6	2100	0.024589419511087566	0.0	0.0	0.0	0.024589419511087566
vaccination_study_04	Myeloid_lineage	15	Non-Classical Monocyte	1	1720	0.8584197381366836	1.0	1.0	0.0	3.4584197381366835
vaccination_study_04	Myeloid_lineage	15	Classical Monocyte	2	1720	0.2544539468705063	0.006395348837209302	1.0	0.0	1.264686505010041
vaccination_study_04	Myeloid_lineage	15	Conventional DC 1	3	1720	0.41090592598198744	0.22965116279069767	0.0	0.0	0.7783477864471038
vaccination_study_04	Myeloid_lineage	15	Intermediate Monocyte	4	1720	0.5725951714220843	0.0069767441860465115	0.0	0.0	0.5837579621197587
vaccination_study_04	Myeloid_lineage	15	Plasmacytoid DC	5	1720	0.46412245515779915	0.012790697674418604	0.0	0.0	0.4845875714368689
vaccination_study_04	Myeloid_lineage	15	Conventional DC 2	6	1720	0.3650571406947703	0.0	0.0	0.0	0.3650571406947703
vaccination_study_04	Myeloid_lineage	16	Conventional DC 2	1	1615	0.9225611140543404	0.9907120743034056	0.8582043343653251	0.0	3.365904767305114
vaccination_study_04	Myeloid_lineage	16	Classical Monocyte	2	1615	0.4375387875577083	0.356656346749226	0.356656346749226	0.0	1.3648452891056961
vaccination_study_04	Myeloid_lineage	16	Plasmacytoid DC	3	1615	0.5199046393703171	0.001238390092879257	0.001238390092879257	0.0	0.5231244536118032
vaccination_study_04	Myeloid_lineage	16	Intermediate Monocyte	4	1615	0.3886324074774843	0.03715170278637771	0.0	0.0	0.4480751319356886
vaccination_study_04	Myeloid_lineage	16	Conventional DC 1	5	1615	0.41090592598198744	0.004953560371517028	0.0043343653250774	0.0	0.42316598790149207
vaccination_study_04	Myeloid_lineage	16	Non-Classical Monocyte	6	1615	0.2994550821160978	0.0	0.0	0.0	0.2994550821160978
vaccination_study_04	Myeloid_lineage	17	Classical Monocyte	1	1379	0.7518958601377431	1.0	1.0	0.0	3.351895860137743
vaccination_study_04	Myeloid_lineage	17	Intermediate Monocyte	2	1379	0.3817906607129342	0.03843364757070341	0.0007251631617113851	0.0	0.4440096599877711
vaccination_study_04	Myeloid_lineage	17	Conventional DC 1	3	1379	0.41090592598198744	0.01015228426395939	0.0	0.0	0.42714958080432247
vaccination_study_04	Myeloid_lineage	17	Conventional DC 2	4	1379	0.3650571406947703	0.02030456852791878	0.00435097897026831	0.0	0.4018954293097087
vaccination_study_04	Myeloid_lineage	17	Non-Classical Monocyte	5	1379	0.3932793460985393	0.0029006526468455403	0.0029006526468455403	0.0	0.4008210429803377
vaccination_study_04	Myeloid_lineage	17	Plasmacytoid DC	6	1379	0.21579505032922122	0.0	0.0	0.0	0.21579505032922122
vaccination_study_04	Myeloid_lineage	18	Non-Classical Monocyte	1	1252	0.822440021191251	0.9992012779552716	0.9792332268370607	0.0	3.4003952927567465
vaccination_study_04	Myeloid_lineage	18	Classical Monocyte	2	1252	0.24951941269961403	0.06309904153354633	1.0	0.0	1.3504778791532883
vaccination_study_04	Myeloid_lineage	18	Intermediate Monocyte	3	1252	0.6880496480738667	0.04792332268370607	0.02875399361022364	0.0	0.7934809579780201
vaccination_study_04	Myeloid_lineage	18	Plasmacytoid DC	4	1252	0.489570877166427	0.00878594249201278	0.0	0.0	0.5036283851536475
vaccination_study_04	Myeloid_lineage	18	Conventional DC 1	5	1252	0.41090592598198744	0.020766773162939296	0.0	0.0	0.44413276304269034
