study	lineage	n_cells	status	reason
vaccination_study_04	B_lineage	148	generated	true lineage-specific subcluster UMAP generated
vaccination_study_04	T_NK_lineage	405	generated	true lineage-specific subcluster UMAP generated
vaccination_study_04	Myeloid_lineage	64094	generated	true lineage-specific subcluster UMAP generated
