study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	marker_decision_score	marker_base_score	negative_marker_penalty	confound_marker_penalty	marker_penalty	marker_discriminative_score	marker_gate_score	key_marker_bonus	marker_any_fraction	marker_mean_positive_fraction	key_marker_any_fraction	key_marker_two_fraction	key_marker_max_fraction	key_marker_enrichment	negative_marker_any_fraction	negative_marker_mean_positive_fraction	confound_marker_any_fraction	confound_marker_mean_positive_fraction	available_negative_markers	available_confound_markers	available_policy_required_markers	policy_required_any_fraction	policy_required_mean_positive_fraction	ref_fraction	raw_fraction	screfmapping_fraction	total_score
vaccination_study_04	B_lineage	0	Naive B Cell	1	31	0.9876333913569969	0.9876333913569969	1.0	0.4693548387096774	0.012096774193548385	0.4814516129032258	0.5185483870967742	0.5185483870967742	0.0	0.9354838709677419	0.3467741935483871	0.9354838709677419	0.3870967741935484	0.9032258064516129	2.0139840659646775	0.8709677419354839	0.6290322580645161	0.03225806451612903	0.016129032258064516	MZB1;JCHAIN	FCRL5;ITGAX		0.0	0.0	0.06451612903225806	0.06451612903225806	0.1935483870967742	0.9185483870967741
vaccination_study_04	B_lineage	0	Plasmablast	2	31	0.9070006811473549	0.9354838709677419	1.0	0.3870967741935484	0.022580645161290318	0.4096774193548387	0.5903225806451613	0.5903225806451613	0.0	0.9354838709677419	0.304147465437788	0.9354838709677419	0.8387096774193549	0.7741935483870968	0.9960963333088397	0.6451612903225806	0.6451612903225806	0.06451612903225806	0.02150537634408602	LST1	LILRA4;CLEC4C;IRF7		0.0	0.0	0.0	0.0	0.0	0.5903225806451613
vaccination_study_04	B_lineage	0	Plasma Cell	3	31	0.9069552713236964	0.9354838709677419	1.0	0.3919354838709677	0.29516129032258065	0.6	0.4	0.4	0.0	0.9354838709677419	0.3087557603686636	0.9354838709677419	0.8387096774193549	0.7741935483870968	0.9821140714712647	0.7419354838709677	0.5	0.8709677419354839	0.22580645161290325	CD79A;LST1	LILRA4;CLEC4C;IRF7;TCF4		0.0	0.0	0.0	0.0	0.0	0.4
vaccination_study_04	B_lineage	0	Memory B Cell	4	31	0.18195716339968213	0.18195716339968213	0.0	0.4935483870967742	0.0	0.4935483870967742	0.0	0.0	0.0	0.8064516129032258	0.17972350230414746	0.0	0.0	0.0	0.025748086290883786	1.0	0.5161290322580645	0.0	0.0	TCL1A;IGHD;IGHM;MZB1;JCHAIN			0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_04	B_lineage	1	Plasma Cell	1	22	0.9991977597820328	1.0	1.0	0.40090909090909094	0.28295454545454546	0.6	0.4	0.4	0.0	1.0	0.8961038961038961	1.0	1.0	1.0	1.049129702414374	0.8181818181818182	0.4090909090909091	0.8181818181818182	0.25	CD79A;LST1	LILRA4;CLEC4C;IRF7;TCF4		0.0	0.0	1.0	1.0	0.09090909090909091	3.109090909090909
vaccination_study_04	B_lineage	1	Plasmablast	2	22	0.9989631423597971	1.0	1.0	0.0	0.06363636363636363	0.06363636363636363	0.9363636363636364	0.9363636363636364	0.0	1.0	0.8051948051948051	1.0	1.0	1.0	1.0640660592255127	0.0	0.0	0.18181818181818182	0.06060606060606061	LST1	LILRA4;CLEC4C;IRF7		0.0	0.0	1.0	0.0	0.0	2.5363636363636366
vaccination_study_04	B_lineage	1	Naive B Cell	3	22	0.9692121395595248	0.9692121395595248	0.2727272727272727	0.5	0.2897727272727273	0.6	0.0	0.0	0.0	1.0	0.30113636363636365	0.2727272727272727	0.09090909090909091	0.2727272727272727	0.6022400167477887	1.0	1.0	0.7727272727272727	0.38636363636363635	MZB1;JCHAIN	FCRL5;ITGAX		0.0	0.0	0.0	0.0	0.7272727272727273	0.8727272727272727
vaccination_study_04	B_lineage	1	Memory B Cell	4	22	0.7078483311889805	0.7727272727272727	1.0	0.484	0.0	0.484	0.516	0.516	0.0	1.0	0.422077922077922	0.7727272727272727	0.7727272727272727	0.7727272727272727	2.015372936040994	1.0	0.4727272727272728	0.0	0.0	TCL1A;IGHD;IGHM;MZB1;JCHAIN			0.0	0.0	0.0	0.0	0.18181818181818182	0.7341818181818182
vaccination_study_04	B_lineage	2	Plasma Cell	1	19	0.9992885794293499	1.0	1.0	0.438421052631579	0.29605263157894735	0.6	0.4	0.4	0.0	1.0	0.8646616541353384	1.0	1.0	1.0	1.049129702414374	0.8947368421052632	0.4473684210526316	0.8421052631578947	0.2894736842105263	CD79A;LST1	LILRA4;CLEC4C;IRF7;TCF4		0.0	0.0	1.0	1.0	0.10526315789473684	3.126315789473684
vaccination_study_04	B_lineage	2	Plasmablast	2	19	0.9992280329978052	1.0	1.0	0.06315789473684211	0.14736842105263157	0.21052631578947367	0.7894736842105263	0.7894736842105263	0.0	1.0	0.7368421052631579	1.0	1.0	1.0	1.0640660592255127	0.10526315789473684	0.10526315789473684	0.42105263157894735	0.14035087719298245	LST1	LILRA4;CLEC4C;IRF7		0.0	0.0	1.0	0.0	0.0	2.389473684210526
