final_broad_lineage	tool	covered_n	exact_final_concordance	broad_final_concordance
B	CellTypist	118	0.7542372881355932	0.8813559322033898
B	Azimuth PBMC L2	118	0.0	0.8559322033898306
B	Azimuth PBMC L3	118	0.7542372881355932	0.8220338983050848
B	Pan-human Azimuth fine	118	0.8389830508474576	0.8983050847457628
B	Pan-human Azimuth medium	118	0.0	0.8728813559322034
B	Cluster consensus	118	0.8220338983050848	0.8220338983050848
B	Marker score	118	0.864406779661017	0.9915254237288136
B	screfmap scoped	108	0.2222222222222222	1.0
T/NK	CellTypist	277	0.7075812274368231	0.9169675090252708
T/NK	Azimuth PBMC L2	277	0.8122743682310469	0.8989169675090253
T/NK	Azimuth PBMC L3	277	0.08664259927797834	0.12274368231046931
T/NK	Pan-human Azimuth fine	277	0.5992779783393501	0.6967509025270758
T/NK	Pan-human Azimuth medium	277	0.555956678700361	0.7148014440433214
T/NK	Cluster consensus	277	0.8844765342960289	0.9783393501805054
T/NK	Marker score	277	0.48736462093862815	0.9602888086642599
T/NK	screfmap scoped	45	0.5555555555555556	1.0
Myeloid/DC	CellTypist	64151	0.9343579990958831	0.9983476485167807
Myeloid/DC	Azimuth PBMC L2	64151	0.9355894685975277	0.9868903056850244
Myeloid/DC	Azimuth PBMC L3	64151	0.8439619023865568	0.8918021542922168
Myeloid/DC	Pan-human Azimuth fine	64151	0.9142647815310752	0.9613567988028245
Myeloid/DC	Pan-human Azimuth medium	64151	0.0	0.9617620925628595
Myeloid/DC	Cluster consensus	64151	0.9868591292419447	0.9989244127137535
Myeloid/DC	Marker score	64151	0.2291468566351265	0.9821982510015432
Myeloid/DC	screfmap scoped	3	0.0	0.0
Artifact/Other	CellTypist	1519	0.45819618169848586	0.5661619486504279
Artifact/Other	Azimuth PBMC L2	1519	0.2685977616853193	0.5931533903884134
Artifact/Other	Azimuth PBMC L3	1519	0.2685977616853193	0.6240947992100065
Artifact/Other	Pan-human Azimuth fine	1519	0.4687294272547729	0.6234364713627386
Artifact/Other	Pan-human Azimuth medium	1519	0.4377880184331797	0.6234364713627386
Artifact/Other	Cluster consensus	1519	0.3923633969716919	0.5707702435813035
Artifact/Other	Marker score	1519	0.003949967083607637	0.003949967083607637
Artifact/Other	screfmap scoped	14	0.0	0.0
