study	source	source_column	n_cells	informative_cells	coverage_fraction	final_concordant_cells	final_concordance_over_informative	final_concordance_over_all	discordant_informative_cells	discordant_fraction_over_informative	high_confidence_informative_cells	high_confidence_concordance_over_informative	top_labels	unique_support_cells	unique_support_fraction_over_all
infection_study_01	CellTypist	celltypist_v3_label	54924	54924	1.0	45208	0.8231010123079164	0.8231010123079164	9716	0.17689898769208362	35914	0.9188895695272039	Classical Monocyte:17334; CD8 Cytotoxic / T Effector Memory:10859; NK Cell:8294; Naive B Cell:4151; CD4 Naive / T Central Memory:3551; Non-Classical Monocyte:2834; Memory B Cell:1873; CD4 T Effector Memory:1746	136	0.002476148860243245
infection_study_01	Pan-human Azimuth	panhuman_fine_v3_label	54924	54924	1.0	40789	0.7426443813269245	0.7426443813269245	14135	0.25735561867307555	35914	0.8303168680737317	Classical Monocyte:13795; CD8 Cytotoxic / T Effector Memory:9701; NK Cell:7361; Blood Cell:3933; Naive B Cell:3693; CD4 T Effector Memory:3091; Memory B Cell:2703; CD4 Naive / T Central Memory:1922	114	0.002075595368145073
infection_study_01	Azimuth PBMC L2	azimuth_pbmc_l2_v3_label	54924	54924	1.0	44877	0.8170745029495302	0.8170745029495302	10047	0.18292549705046973	35914	0.924764715709751	Classical Monocyte:17464; NK Cell:8590; CD8 Cytotoxic / T Effector Memory:7486; CD4 Naive / T Central Memory:4975; Naive B Cell:4042; Non-Classical Monocyte:2585; CD4 T Effector Memory:1619; Platelet:1538	85	0.0015475930376520283
infection_study_01	Azimuth PBMC L3	azimuth_pbmc_l3_v3_label	54924	54924	1.0	22005	0.4006445269827398	0.4006445269827398	32919	0.5993554730172602	35914	0.5192960962298825	Blood Cell:29371; Classical Monocyte:17469; Non-Classical Monocyte:2621; Platelet:1552; CD4 T Effector Memory:1046; NK Cell:614; CD4 Naive / T Central Memory:492; MAIT Cell:448	6	0.00010924186148131964
infection_study_01	Cluster consensus	cluster_consensus_v3_label	54924	54924	1.0	45548	0.8292913844585245	0.8292913844585245	9376	0.17070861554147548	35914	0.9050231107646043	Classical Monocyte:18521; NK Cell:9776; CD8 Cytotoxic / T Effector Memory:8004; CD4 T Effector Memory:4181; Naive B Cell:4014; CD4 Naive / T Central Memory:2702; B Cell:2515; Non-Classical Monocyte:2093	617	0.01123370475566237
infection_study_01	scRefMapping	screfmapping_official_label	54924	12525	0.22804238584225475	10072	0.8041516966067864	0.18338067147330858	2453	0.19584830339321357	8247	0.9593791681823693	CD4 Naive / T Central Memory:4753; Naive B Cell:4145; Memory B Cell:2382; CD4 T Effector Memory:847; Treg:262; Plasma Cell:136	4	7.28279076542131e-05
infection_study_01	Cluster marker assignment	cluster_marker_gene_assignment	54924	52091	0.9484196344039035	44718	0.8584592348006373	0.8141795936202753	7373	0.14154076519936265	35914	0.8525366152475358	Classical Monocyte:17074; CD8 Cytotoxic / T Effector Memory:7944; NKT Cell:6384; Naive B Cell:5062; NK Cell:4676; CD4 Naive / T Central Memory:4408; Non-Classical Monocyte:2219; CD4 T Effector Memory:1628	1415	0.02576287233267788
