study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	ref_fraction	raw_fraction	screfmapping_fraction	total_score
infection_study_01	T_NK_lineage	0	NK Cell	1	1315	0.9442138227368728	0.9992395437262357	0.9049429657794676	0.0	3.4479400584783177
infection_study_01	T_NK_lineage	0	CD8 Cytotoxic / T Effector Memory	2	1315	0.91114995266186	0.41977186311787074	0.0	0.0	1.5827849336504531
infection_study_01	T_NK_lineage	0	ydT Cell	3	1315	0.9285103051489331	0.0007604562737642585	0.0007604562737642585	0.0	0.9304874914607202
infection_study_01	T_NK_lineage	0	MAIT Cell	4	1315	0.8418724055057898	0.0	0.0	0.0	0.8418724055057898
infection_study_01	T_NK_lineage	0	CD4 T Effector Memory	5	1315	0.7552071953972762	0.0007604562737642585	0.0	0.0	0.756423925435299
infection_study_01	T_NK_lineage	0	Treg	6	1315	0.4674095113247396	0.0	0.0	0.0	0.4674095113247396
infection_study_01	T_NK_lineage	0	CD8 Naive / T Central Memory	7	1315	0.2781024688660695	0.0	0.0	0.0	0.2781024688660695
infection_study_01	T_NK_lineage	0	CD4 Naive / T Central Memory	8	1315	0.12324302672784211	0.0	0.0	0.0	0.12324302672784211
infection_study_01	T_NK_lineage	1	CD4 T Effector Memory	1	1297	0.6086592382200859	0.9452582883577486	0.0	0.0	2.1210724995924837
infection_study_01	T_NK_lineage	1	CD4 Naive / T Central Memory	2	1297	0.8974218920690409	0.4818812644564379	0.0	0.0	1.6684319151993416
infection_study_01	T_NK_lineage	1	CD8 Naive / T Central Memory	3	1297	0.7559900954045591	0.08866615265998458	0.0	0.0	0.8978559396605345
infection_study_01	T_NK_lineage	1	Treg	4	1297	0.4674095113247396	0.16037008481110254	0.06322282189668466	0.0	0.7872244689191883
infection_study_01	T_NK_lineage	1	MAIT Cell	5	1297	0.37886898259413004	0.09252120277563608	0.010023130300693909	0.0	0.5369260373358417
infection_study_01	T_NK_lineage	1	ydT Cell	6	1297	0.3500837520938023	0.05551272166538165	0.0	0.0	0.43890410675841296
infection_study_01	T_NK_lineage	1	CD8 Cytotoxic / T Effector Memory	7	1297	0.19699038671618965	0.051657671549730146	0.0	0.0	0.27964266119575787
infection_study_01	T_NK_lineage	1	NK Cell	8	1297	0.183362464496395	0.0015420200462606013	0.0015420200462606013	0.0	0.18737171661667257
infection_study_01	T_NK_lineage	10	CD4 T Effector Memory	1	810	0.7440281115723546	0.9839506172839506	0.0	0.0	2.3183490992266758
infection_study_01	T_NK_lineage	10	CD4 Naive / T Central Memory	2	810	0.9102213968392687	0.3888888888888889	0.0	0.0	1.532443619061491
infection_study_01	T_NK_lineage	10	CD8 Naive / T Central Memory	3	810	0.7590306605491224	0.10246913580246914	0.0	0.0	0.922981277833073
infection_study_01	T_NK_lineage	10	MAIT Cell	4	810	0.37886898259413004	0.15555555555555556	0.006172839506172839	0.0	0.6339307109891918
infection_study_01	T_NK_lineage	10	Treg	5	810	0.4674095113247396	0.09012345679012346	0.019753086419753086	0.0	0.6313601286086903
infection_study_01	T_NK_lineage	10	ydT Cell	6	810	0.3500837520938023	0.04691358024691358	0.0	0.0	0.4251454804888641
infection_study_01	T_NK_lineage	10	CD8 Cytotoxic / T Effector Memory	7	810	0.19699038671618965	0.10740740740740741	0.0	0.0	0.36884223856804155
infection_study_01	T_NK_lineage	10	NK Cell	8	810	0.183362464496395	0.0012345679012345679	0.0012345679012345679	0.0	0.18657234103960488
infection_study_01	T_NK_lineage	11	CD8 Cytotoxic / T Effector Memory	1	767	0.6972543878814361	0.5254237288135594	0.0	0.0	1.537932353983131
infection_study_01	T_NK_lineage	11	NK Cell	2	767	0.6794843784138082	0.21642764015645372	0.20599739243807041	0.0	1.2317659951022044
infection_study_01	T_NK_lineage	11	CD4 Naive / T Central Memory	3	767	0.771720923457869	0.27509778357235987	0.0	0.0	1.2118773771736449
infection_study_01	T_NK_lineage	11	CD4 T Effector Memory	4	767	0.7947527492535139	0.24902216427640156	0.0	0.0	1.1931882120957564
infection_study_01	T_NK_lineage	11	CD8 Naive / T Central Memory	5	767	0.8089906051999126	0.07040417209908735	0.0	0.0	0.9216372805584524
infection_study_01	T_NK_lineage	11	Treg	6	767	0.4674095113247396	0.04954367666232073	0.027379400260756193	0.0	0.574058794245209
infection_study_01	T_NK_lineage	11	MAIT Cell	7	767	0.37886898259413004	0.05345501955671447	0.020860495436766623	0.0	0.4852575093216398
infection_study_01	T_NK_lineage	11	ydT Cell	8	767	0.3500837520938023	0.04432855280312908	0.007822685788787484	0.0	0.4288321223675963
infection_study_01	T_NK_lineage	12	CD8 Cytotoxic / T Effector Memory	1	727	0.7604508047483796	0.8885832187070152	0.0	0.0	2.182183954679604
infection_study_01	T_NK_lineage	12	NK Cell	2	727	0.7535685674750564	0.31361760660247595	0.30536451169188444	0.0	1.5607212497309022
infection_study_01	T_NK_lineage	12	ydT Cell	3	727	0.8199967227441556	0.06052269601100413	0.059147180192572216	0.0	0.9759802165543344
infection_study_01	T_NK_lineage	12	CD4 T Effector Memory	4	727	0.7716480955502149	0.07702888583218707	0.0	0.0	0.8948943128817142
infection_study_01	T_NK_lineage	12	CD8 Naive / T Central Memory	5	727	0.8010159493117762	0.016506189821182942	0.0	0.0	0.827425853025669
infection_study_01	T_NK_lineage	12	MAIT Cell	6	727	0.7852851212584663	0.002751031636863824	0.0	0.0	0.7896867718774484
infection_study_01	T_NK_lineage	12	Treg	7	727	0.4674095113247396	0.002751031636863824	0.0	0.0	0.47181116194372175
