tool	covered_n	coverage_fraction	exact_final_concordance	broad_final_concordance	top_supported_labels	top_disagreements
CellTypist	54924	1.0	0.7962457213604253	0.9684655159857257	Classical Monocyte: 17,334; CD8 Cytotoxic / T Effector Memory: 10,859; NK Cell: 8,294; Naive B Cell: 4,151; CD4 Naive / T Central Memory: 3,551	CD8 Cytotoxic / T Effector Memory vs NK Cell: 1,726; NK Cell vs CD8 Cytotoxic / T Effector Memory: 1,500; CD4 Naive / T Central Memory vs CD4 T Effector Memory: 994; CD4 T Effector Memory vs CD8 Cytotoxic / T Effector Memory: 812; Doublet vs Classical Monocyte: 705
Azimuth PBMC L2	54924	1.0	0.7774925351394655	0.9717973927609059	Classical Monocyte: 17,464; NK Cell: 8,590; CD8 Cytotoxic / T Effector Memory: 7,486; CD4 Naive / T Central Memory: 4,975; Naive B Cell: 4,042	CD8 Cytotoxic / T Effector Memory vs NK Cell: 1,537; Memory B Cell vs B Cell: 1,136; CD4 T Effector Memory vs CD4 Naive / T Central Memory: 1,007; CD8 Cytotoxic / T Effector Memory vs CD4 T Effector Memory: 986; CD8 Cytotoxic / T Effector Memory vs ydT Cell: 832
Azimuth PBMC L3	54924	1.0	0.39299759667904743	0.45022212511834536	Blood Cell: 29,371; Classical Monocyte: 17,469; Non-Classical Monocyte: 2,621; Platelet: 1,552; CD4 T Effector Memory: 1,046	CD8 Cytotoxic / T Effector Memory vs Blood Cell: 9,480; NK Cell vs Blood Cell: 7,331; Naive B Cell vs Blood Cell: 4,166; CD4 Naive / T Central Memory vs Blood Cell: 3,239; Memory B Cell vs Blood Cell: 2,165
Pan-human Azimuth fine	54924	1.0	0.7245648532517661	0.907399315417668	Classical Monocyte: 13,795; CD8 Cytotoxic / T Effector Memory: 9,701; NK Cell: 7,361; Blood Cell: 3,933; Naive B Cell: 3,693	Classical Monocyte vs Blood Cell: 1,845; CD4 Naive / T Central Memory vs CD4 T Effector Memory: 1,661; CD8 Cytotoxic / T Effector Memory vs NK Cell: 1,265; Classical Monocyte vs Intermediate Monocyte: 1,060; NK Cell vs CD8 Cytotoxic / T Effector Memory: 871
Pan-human Azimuth medium	54924	1.0	0.13624280824411913	0.9103670526545772	Monocyte: 17,204; T Cell: 16,536; NK Cell: 7,365; B Cell: 6,553; Blood Cell: 3,601	Classical Monocyte vs Monocyte: 14,547; CD8 Cytotoxic / T Effector Memory vs T Cell: 8,961; Naive B Cell vs B Cell: 4,103; CD4 Naive / T Central Memory vs T Cell: 4,022; CD4 T Effector Memory vs T Cell: 2,204
Cluster consensus	54924	1.0	0.8103743354453427	0.968574757847207	Classical Monocyte: 18,521; NK Cell: 9,776; CD8 Cytotoxic / T Effector Memory: 8,004; CD4 T Effector Memory: 4,181; Naive B Cell: 4,014	Memory B Cell vs B Cell: 2,115; CD8 Cytotoxic / T Effector Memory vs NK Cell: 1,842; CD4 Naive / T Central Memory vs CD4 T Effector Memory: 1,680; Doublet vs Classical Monocyte: 948; CD8 Cytotoxic / T Effector Memory vs MAIT Cell: 686
Marker score	54924	1.0	0.17793678537615615	0.9654977787488166	Monocyte: 19,593; NK Cell: 10,947; B Cell: 6,446; CD8 T Cell (ab): 6,284; CD4 T Cell (ab): 4,895	Classical Monocyte vs Monocyte: 17,024; CD8 Cytotoxic / T Effector Memory vs CD8 T Cell (ab): 5,216; Naive B Cell vs B Cell: 4,103; CD8 Cytotoxic / T Effector Memory vs NK Cell: 3,337; CD4 Naive / T Central Memory vs CD4 T Cell (ab): 2,862
screfmap scoped	12525	0.22804238584225475	0.7827544910179641	0.9769261477045909	CD4 Naive / T Central Memory: 4,753; Naive B Cell: 4,145; Memory B Cell: 2,382; CD4 T Effector Memory: 847; Treg: 262	CD4 T Effector Memory vs CD4 Naive / T Central Memory: 930; CD8 Cytotoxic / T Effector Memory vs CD4 Naive / T Central Memory: 332; Naive B Cell vs Memory B Cell: 208; CD8 Cytotoxic / T Effector Memory vs CD4 T Effector Memory: 180; CD4 Naive / T Central Memory vs CD4 T Effector Memory: 179
