lineage	cluster	n_cells	chosen_label	accepted	score_margin	calibrated_cluster_confidence	marker_availability_alert	top_celltypist	top_azimuth_l2	top_panhuman_fine	top_marker	top_screfmapping
T_NK_lineage	17	1320	NK Cell	True	0.9858766525915033	0.8500000000000001	pass	CD8 Cytotoxic / T Effector Memory:727; NK Cell:343; ydT Cell:172; Blood Cell:75; MAIT Cell:1	NK Cell:1120; CD8 Cytotoxic / T Effector Memory:141; ydT Cell:58; CD4 T Effector Memory:1	NK Cell:986; Blood Cell:191; CD8 Cytotoxic / T Effector Memory:120; CD8 T Cell (ab):19; ydT Cell:4	NK Cell:1241; CD8 T Cell (ab):40; T Cell:38; CD4 T Cell (ab):1	not_available:1320
T_NK_lineage	18	1149	NK Cell	True	2.5685527625088573	0.8500000000000001	pass	NK Cell:1123; CD8 Cytotoxic / T Effector Memory:12; Blood Cell:9; Plasma Cell:2; ydT Cell:1	NK Cell:1146; CD8 Cytotoxic / T Effector Memory:2; ydT Cell:1	NK Cell:930; Blood Cell:197; CD8 Cytotoxic / T Effector Memory:21; CD8 T Cell (ab):1	NK Cell:1145; Plasmacytoid DC:3; CD4 T Cell (ab):1	not_available:1149
T_NK_lineage	19	901	CD8 Cytotoxic / T Effector Memory	True	2.0233502006658264	0.8500000000000001	pass	CD8 Cytotoxic / T Effector Memory:887; NK Cell:6; ydT Cell:4; CD4 T Effector Memory:1; T Cell:1	CD8 Cytotoxic / T Effector Memory:800; NK Cell:86; ydT Cell:11; CD4 Naive / T Central Memory:3; CD4 T Effector Memory:1	CD8 Cytotoxic / T Effector Memory:704; Blood Cell:126; CD8 T Cell (ab):54; NK Cell:16; ydT Cell:1	CD8 T Cell (ab):637; NK Cell:250; T Cell:14	not_available:901
T_NK_lineage	20	890	CD4 Naive / T Central Memory	True	2.771369338849784	0.8221994256871317	pass	CD4 Naive / T Central Memory:736; CD4 T Effector Memory:71; Blood Cell:30; CD8 Cytotoxic / T Effector Memory:20; Treg:10	T Cell:825; CD4 Naive / T Central Memory:64; Treg:1	Blood Cell:254; CD4 T Effector Memory:196; Treg:166; CD4 Naive / T Central Memory:141; CD4 T Cell (ab):131	CD4 T Cell (ab):624; T Cell:82; Monocyte:49; Plasma Cell:41; NK Cell:32	CD4 Naive / T Central Memory:701; not_available:120; Treg:41; CD4 T Effector Memory:28
T_NK_lineage	21	886	CD4 Naive / T Central Memory	True	1.4471218440722682	0.7334086401320353	pass	CD4 Naive / T Central Memory:472; Blood Cell:111; CD8 Cytotoxic / T Effector Memory:87; NK Cell:63; CD4 T Effector Memory:32	RBC:347; CD4 Naive / T Central Memory:249; T Cell:140; CD8 Cytotoxic / T Effector Memory:86; CD8 Naive / T Central Memory:29	Blood Cell:418; CD4 Naive / T Central Memory:210; CD4 T Cell (ab):77; Treg:72; CD8 Cytotoxic / T Effector Memory:47	CD4 T Cell (ab):250; T Cell:169; NK Cell:159; DC:103; Plasmacytoid DC:57	not_available:452; CD4 Naive / T Central Memory:294; CD4 T Effector Memory:87; Treg:42; Naive B Cell:6
T_NK_lineage	22	873	CD8 Naive / T Central Memory	True	0.9623099721113184	0.74	pass	CD8 Naive / T Central Memory:753; CD4 Naive / T Central Memory:70; CD4 T Effector Memory:17; CD8 Cytotoxic / T Effector Memory:16; Blood Cell:15	CD8 Naive / T Central Memory:675; CD4 Naive / T Central Memory:198	CD8 Naive / T Central Memory:266; Blood Cell:200; CD4 Naive / T Central Memory:190; Treg:135; CD4 T Cell (ab):54	CD4 T Cell (ab):405; T Cell:319; CD8 T Cell (ab):149	CD4 Naive / T Central Memory:432; not_available:426; CD4 T Effector Memory:10; Treg:5
T_NK_lineage	23	512	CD4 Naive / T Central Memory	True	2.176792926502987	0.8142609281822066	pass	CD4 T Effector Memory:141; Blood Cell:134; CD4 Naive / T Central Memory:108; CD8 Cytotoxic / T Effector Memory:44; Treg:30	CD4 Naive / T Central Memory:344; Plasmablast:63; CD8 Cytotoxic / T Effector Memory:36; NK Cell:22; Treg:13	CD4 T Cell (ab):291; Blood Cell:89; Treg:39; CD4 Naive / T Central Memory:27; NK Cell:24	CD4 T Cell (ab):252; T Cell:165; NK Cell:65; CD8 T Cell (ab):13; Plasma Cell:6	CD4 Naive / T Central Memory:330; not_available:131; Treg:31; CD4 T Effector Memory:13; Plasma Cell:4
T_NK_lineage	24	440	CD4 Naive / T Central Memory	True	2.30488206311183	0.8144620811106797	pass	CD4 Naive / T Central Memory:259; Blood Cell:56; CD4 T Effector Memory:43; Treg:36; CD8 Cytotoxic / T Effector Memory:19	T Cell:307; CD4 Naive / T Central Memory:77; Treg:23; Plasmacytoid DC:11; Plasmablast:10	Treg:124; CD4 T Cell (ab):116; Blood Cell:97; CD4 Naive / T Central Memory:76; CD4 T Effector Memory:22	CD4 T Cell (ab):237; T Cell:64; Monocyte:41; Plasmacytoid DC:24; Plasma Cell:23	CD4 Naive / T Central Memory:344; not_available:60; Treg:20; CD4 T Effector Memory:12; Naive B Cell:2
T_NK_lineage	25	439	CD8 Cytotoxic / T Effector Memory	True	1.2959023945031647	0.7296681770637512	pass	CD8 Cytotoxic / T Effector Memory:318; NK Cell:49; Blood Cell:24; ydT Cell:23; CD4 Naive / T Central Memory:9	CD8 Cytotoxic / T Effector Memory:414; T Cell:15; NK Cell:7; ydT Cell:2; Platelet:1	CD8 Cytotoxic / T Effector Memory:215; Blood Cell:172; CD8 T Cell (ab):26; Treg:11; NK Cell:7	NK Cell:258; CD8 T Cell (ab):112; T Cell:37; CD4 T Cell (ab):10; Plasma Cell:6	not_available:426; CD4 T Effector Memory:13
T_NK_lineage	26	150	CD4 Naive / T Central Memory	True	1.133387902958951	0.7231374608186332	pass	CD4 Naive / T Central Memory:41; CD8 Cytotoxic / T Effector Memory:35; CD4 T Effector Memory:18; Blood Cell:14; B Cell:14	CD4 Naive / T Central Memory:68; T Cell:38; CD8 Cytotoxic / T Effector Memory:19; NK Cell:13; B Cell:4	Blood Cell:62; CD4 T Cell (ab):31; Treg:29; Memory B Cell:7; CD8 Cytotoxic / T Effector Memory:7	CD4 T Cell (ab):59; DC:28; NK Cell:26; T Cell:12; CD8 T Cell (ab):12	not_available:76; Treg:39; CD4 Naive / T Central Memory:28; CD4 T Effector Memory:4; Naive B Cell:2
T_NK_lineage	27	77	NK Cell	True	0.7425167876238075	0.7111884728812718	pass	NK Cell:37; CD4 Naive / T Central Memory:23; CD8 Cytotoxic / T Effector Memory:8; Blood Cell:5; Plasma Cell:1	T Cell:40; CD8 Cytotoxic / T Effector Memory:25; NK Cell:10; CD4 Naive / T Central Memory:2	Blood Cell:48; Treg:10; CD8 Cytotoxic / T Effector Memory:6; NK Cell:4; CD4 Naive / T Central Memory:4	NK Cell:60; CD4 T Cell (ab):13; Plasma Cell:1; CD8 T Cell (ab):1; T Cell:1	not_available:73; CD4 Naive / T Central Memory:3; CD4 T Effector Memory:1
