lineage	cluster	n_cells	chosen_label	accepted	score_margin	calibrated_cluster_confidence	marker_availability_alert	top_celltypist	top_azimuth_l2	top_panhuman_fine	top_marker	top_screfmapping
B_lineage	13	156	Memory B Cell	True	2.333636391241888	0.8007081625799735	pass	B Cell:94; Naive B Cell:21; Memory B Cell:16; CD4 T Effector Memory:6; Plasma Cell:6	B Cell:63; Conventional DC 2:35; CD4 Naive / T Central Memory:25; Plasmablast:17; Memory B Cell:6	Memory B Cell:140; Blood Cell:13; Plasma Cell:2; Naive B Cell:1	DC:92; B Cell:44; Plasma Cell:6; CD4 T Cell (ab):4; Monocyte:3	Memory B Cell:69; Naive B Cell:57; Plasma Cell:16; not_available:12; CD4 Naive / T Central Memory:2
B_lineage	14	114	Naive B Cell	True	1.2217874577245804	0.8500000000000001	pass	Naive B Cell:89; B Cell:20; Memory B Cell:3; CD8 Cytotoxic / T Effector Memory:1; Blood Cell:1	B Cell:61; CD4 Naive / T Central Memory:32; Naive B Cell:14; Memory B Cell:7	Memory B Cell:114	B Cell:88; Monocyte:12; DC:8; Plasmacytoid DC:6	Naive B Cell:111; Memory B Cell:3
B_lineage	15	99	Memory B Cell	True	2.721365996297639	0.8174355466966234	pass	Memory B Cell:80; B Cell:13; Naive B Cell:3; Blood Cell:1; CD8 Cytotoxic / T Effector Memory:1	B Cell:39; CD4 Naive / T Central Memory:38; Memory B Cell:20; Conventional DC 2:2	Memory B Cell:98; B Cell:1	B Cell:51; DC:47; Monocyte:1	Naive B Cell:53; Memory B Cell:44; not_available:2
B_lineage	16	90	Memory B Cell	True	2.829375293892266	0.8307002498660518	pass	B Cell:80; Memory B Cell:4; Naive B Cell:3; Blood Cell:3	B Cell:83; CD4 Naive / T Central Memory:4; Conventional DC 2:3	Memory B Cell:90	B Cell:62; DC:27; Plasmacytoid DC:1	Memory B Cell:67; Naive B Cell:23
B_lineage	17	77	Memory B Cell	True	2.669348690634328	0.8171856288798109	pass	B Cell:76; Blood Cell:1	Conventional DC 2:37; Plasmablast:27; B Cell:13	Memory B Cell:77	DC:55; B Cell:19; Monocyte:3	Memory B Cell:41; Naive B Cell:34; Plasma Cell:2
Myeloid_lineage	0	18	Plasmacytoid DC	True	0.887856032943025	0.6625925925925926	pass	CD4 Naive / T Central Memory:6; Memory B Cell:6; Blood Cell:1; CD8 Cytotoxic / T Effector Memory:1; Naive B Cell:1	RBC:6; Plasmacytoid DC:4; CD4 Naive / T Central Memory:4; B Cell:2; T Cell:1	Blood Cell:15; B Cell:1; T Cell:1; Memory B Cell:1	DC:7; Plasmacytoid DC:6; Monocyte:5	not_available:7; CD4 Naive / T Central Memory:6; Treg:2; CD4 T Effector Memory:1; Naive B Cell:1
Myeloid_lineage	1	18	Intermediate Monocyte	True	0.6104572431502544	0.8244171612442133	pass	Blood Cell:17; Plasma Cell:1	Classical Monocyte:18	Intermediate Monocyte:11; Blood Cell:6; Classical Monocyte:1	DC:10; Monocyte:7; Plasmacytoid DC:1	not_available:18
Myeloid_lineage	2	18	Plasmacytoid DC	True	0.9520869979159046	0.6965365430381213	pass	Blood Cell:6; B Cell:6; CD4 Naive / T Central Memory:2; NK Cell:2; Naive B Cell:1	Plasmacytoid DC:10; B Cell:4; CD8 Cytotoxic / T Effector Memory:1; Conventional DC 2:1; Classical Monocyte:1	Blood Cell:12; Memory B Cell:5; Plasma Cell:1	Monocyte:13; DC:3; Plasmacytoid DC:1; CD8 T Cell (ab):1	not_available:14; Naive B Cell:4
Myeloid_lineage	3	15	Plasmacytoid DC	True	2.4416454483707484	0.698703022057671	pass	B Cell:5; NK Cell:3; CD4 Naive / T Central Memory:2; Naive B Cell:2; CD8 Cytotoxic / T Effector Memory:1	Plasmacytoid DC:13; T Cell:1; B Cell:1	Blood Cell:13; Platelet:1; Plasma Cell:1	Monocyte:12; DC:1; Plasmacytoid DC:1; Plasma Cell:1	not_available:14; Naive B Cell:1
Myeloid_lineage	4	15	Myeloid Cell	False	0.0065671641791045	0.3617749636060209	pass	Blood Cell:7; CD4 Naive / T Central Memory:5; Plasma Cell:1; B Cell:1; T Cell:1	RBC:6; T Cell:4; CD4 Naive / T Central Memory:3; CD8 Naive / T Central Memory:1; CD8 Cytotoxic / T Effector Memory:1	Blood Cell:15	Monocyte:9; Plasmacytoid DC:3; DC:3	not_available:9; CD4 T Effector Memory:2; Treg:2; CD4 Naive / T Central Memory:2
Myeloid_lineage	5	12	Myeloid Cell	False	0.4501166861143523	0.4760171139634384	pass	CD4 Naive / T Central Memory:4; Memory B Cell:2; Myeloid Cell:2; Blood Cell:1; Plasma Cell:1	RBC:9; CD4 Naive / T Central Memory:3	Blood Cell:11; Platelet:1	Monocyte:6; DC:5; Plasmacytoid DC:1	not_available:5; CD4 Naive / T Central Memory:3; Naive B Cell:2; Treg:1; Memory B Cell:1
Myeloid_lineage	6	10	Conventional DC 2	True	0.3651982793152091	0.5649360902263342	pass	Blood Cell:4; Conventional DC 2:3; CD4 Naive / T Central Memory:1; Memory B Cell:1; Classical Monocyte:1	Conventional DC 2:4; RBC:3; Platelet:1; Plasmacytoid DC:1; CD4 Naive / T Central Memory:1	Blood Cell:6; Memory B Cell:3; CD4 T Cell (ab):1	DC:8; Monocyte:2	not_available:7; CD4 Naive / T Central Memory:2; Memory B Cell:1
Myeloid_lineage	7	10	Plasmacytoid DC	True	1.4026115049025587	0.6659273216592582	pass	Blood Cell:3; Memory B Cell:3; CD4 Naive / T Central Memory:1; Plasma Cell:1; B Cell:1	Plasmacytoid DC:4; RBC:3; CD8 Cytotoxic / T Effector Memory:1; CD4 Naive / T Central Memory:1; T Cell:1	Blood Cell:9; CD4 T Cell (ab):1	Monocyte:5; Plasmacytoid DC:3; DC:2	not_available:6; Memory B Cell:3; CD4 Naive / T Central Memory:1
Myeloid_lineage	8	9	Classical Monocyte	True	0.1192628843336798	0.4840507508142284	pass	Blood Cell:6; CD4 Naive / T Central Memory:2; CD8 Cytotoxic / T Effector Memory:1	Classical Monocyte:5; RBC:3; T Cell:1	Blood Cell:8; Intermediate Monocyte:1	Monocyte:5; DC:3; Plasma Cell:1	not_available:7; CD4 Naive / T Central Memory:2
Myeloid_lineage	9	7	Plasmacytoid DC	True	0.4385867793886044	0.545875392947893	pass	CD4 Naive / T Central Memory:3; Blood Cell:2; Memory B Cell:1; NK Cell:1	Classical Monocyte:2; RBC:1; T Cell:1; CD4 Naive / T Central Memory:1; CD8 Cytotoxic / T Effector Memory:1	Blood Cell:6; Memory B Cell:1	Monocyte:5; DC:1; Plasmacytoid DC:1	not_available:4; Naive B Cell:1; CD4 T Effector Memory:1; CD4 Naive / T Central Memory:1
Myeloid_lineage	10	5	Plasmacytoid DC	True	0.7777345477977671	0.6528222741054833	pass	Blood Cell:2; Myeloid Cell:1; CD4 Naive / T Central Memory:1; B Cell:1	CD4 Naive / T Central Memory:2; Plasmacytoid DC:1; B Cell:1; T Cell:1	Blood Cell:5	DC:2; Plasmacytoid DC:2; T Cell:1	not_available:4; CD4 Naive / T Central Memory:1
T_NK_lineage	0	3594	NK Cell	True	2.3543459905576696	0.8500000000000001	pass	NK Cell:3187; CD8 Cytotoxic / T Effector Memory:319; Blood Cell:65; CD4 T Effector Memory:11; CD4 Naive / T Central Memory:3	NK Cell:3529; CD4 Naive / T Central Memory:24; CD8 Cytotoxic / T Effector Memory:21; ydT Cell:15; CD4 T Effector Memory:2	NK Cell:2776; Blood Cell:757; CD8 Cytotoxic / T Effector Memory:46; CD8 T Cell (ab):6; CD4 T Cell (ab):3	NK Cell:3583; T Cell:6; CD8 T Cell (ab):4; Monocyte:1	not_available:3594
T_NK_lineage	1	3197	CD4 Naive / T Central Memory	True	0.3220351484731236	0.7419987326200108	pass	CD4 T Effector Memory:2699; CD8 Cytotoxic / T Effector Memory:163; CD4 Naive / T Central Memory:123; Blood Cell:110; Treg:59	CD4 Naive / T Central Memory:2769; CD8 Naive / T Central Memory:332; Plasmablast:32; Treg:25; CD8 Cytotoxic / T Effector Memory:23	CD4 T Cell (ab):1698; CD4 T Effector Memory:873; Treg:326; Blood Cell:259; CD8 Cytotoxic / T Effector Memory:24	CD4 T Cell (ab):2314; T Cell:663; CD8 T Cell (ab):198; NK Cell:14; Plasma Cell:4	CD4 Naive / T Central Memory:2065; not_available:562; CD4 T Effector Memory:495; Treg:75
T_NK_lineage	2	3126	CD4 Naive / T Central Memory	True	3.495596963613836	0.8217982467373477	pass	CD4 Naive / T Central Memory:2939; Blood Cell:37; CD4 T Effector Memory:34; CD8 Cytotoxic / T Effector Memory:32; CD8 Naive / T Central Memory:28	T Cell:2804; CD4 Naive / T Central Memory:298; RBC:11; Treg:6; CD8 Naive / T Central Memory:4	CD4 Naive / T Central Memory:1608; Blood Cell:847; Treg:289; CD4 T Cell (ab):222; CD4 T Effector Memory:119	CD4 T Cell (ab):1689; T Cell:492; Plasmacytoid DC:213; Monocyte:191; NK Cell:166	CD4 Naive / T Central Memory:2503; not_available:543; CD4 T Effector Memory:49; Treg:31
T_NK_lineage	3	2918	CD8 Cytotoxic / T Effector Memory	True	2.0706868098638487	0.74	pass	CD8 Cytotoxic / T Effector Memory:2726; CD4 T Effector Memory:56; ydT Cell:49; NK Cell:29; Blood Cell:27	CD8 Cytotoxic / T Effector Memory:2145; CD4 Naive / T Central Memory:445; NK Cell:113; ydT Cell:91; CD4 T Effector Memory:54	CD8 Cytotoxic / T Effector Memory:2067; Blood Cell:539; CD8 T Cell (ab):89; CD4 T Cell (ab):69; ydT Cell:64	CD8 T Cell (ab):1544; NK Cell:823; T Cell:433; CD4 T Cell (ab):117; Plasma Cell:1	not_available:2827; CD4 T Effector Memory:83; CD4 Naive / T Central Memory:8
T_NK_lineage	4	2874	CD4 Naive / T Central Memory	True	1.618421946801511	0.7998180406120141	pass	CD4 Naive / T Central Memory:1507; CD4 T Effector Memory:553; CD8 Cytotoxic / T Effector Memory:245; Blood Cell:235; Treg:142	T Cell:1818; CD4 Naive / T Central Memory:856; CD4 T Effector Memory:56; Treg:53; MAIT Cell:37	Blood Cell:724; CD4 T Effector Memory:711; Treg:644; CD4 T Cell (ab):510; CD4 Naive / T Central Memory:246	CD4 T Cell (ab):1790; T Cell:259; Monocyte:223; Plasmacytoid DC:140; Plasma Cell:132	CD4 Naive / T Central Memory:1670; CD4 T Effector Memory:595; not_available:453; Treg:155; Plasma Cell:1
T_NK_lineage	5	2831	CD8 Cytotoxic / T Effector Memory	True	1.3137498766634472	0.7273309716091108	pass	CD8 Cytotoxic / T Effector Memory:2151; NK Cell:244; CD4 Naive / T Central Memory:137; Blood Cell:115; ydT Cell:85	CD8 Cytotoxic / T Effector Memory:2296; T Cell:203; NK Cell:201; CD4 Naive / T Central Memory:77; CD4 T Effector Memory:20	CD8 Cytotoxic / T Effector Memory:1325; Blood Cell:1090; NK Cell:106; ydT Cell:90; CD8 T Cell (ab):46	NK Cell:1595; CD8 T Cell (ab):505; CD4 T Cell (ab):255; T Cell:249; Monocyte:95	not_available:2615; CD4 T Effector Memory:204; CD4 Naive / T Central Memory:11; Treg:1
T_NK_lineage	6	2822	CD4 Naive / T Central Memory	True	3.811483806066362	0.8498430218322897	pass	CD4 Naive / T Central Memory:2746; CD4 T Effector Memory:50; Treg:11; CD8 Naive / T Central Memory:7; Blood Cell:4	CD4 Naive / T Central Memory:2819; Plasmablast:1; CD8 Cytotoxic / T Effector Memory:1; Treg:1	CD4 Naive / T Central Memory:1735; Blood Cell:699; Treg:203; CD4 T Effector Memory:102; CD4 T Cell (ab):82	CD4 T Cell (ab):1923; T Cell:892; NK Cell:3; Monocyte:2; Plasmacytoid DC:1	CD4 Naive / T Central Memory:2768; not_available:30; Treg:20; CD4 T Effector Memory:4
T_NK_lineage	7	2797	CD4 Naive / T Central Memory	True	1.9836952389501223	0.8351988632580116	pass	CD4 Naive / T Central Memory:1298; CD4 T Effector Memory:1214; Treg:170; Blood Cell:61; CD8 Cytotoxic / T Effector Memory:34	CD4 Naive / T Central Memory:2759; CD8 Naive / T Central Memory:21; Treg:15; CD8 Cytotoxic / T Effector Memory:1; Plasmablast:1	CD4 T Cell (ab):885; CD4 T Effector Memory:784; Treg:596; CD4 Naive / T Central Memory:287; Blood Cell:244	CD4 T Cell (ab):2046; T Cell:742; CD8 T Cell (ab):4; Monocyte:2; Plasmacytoid DC:1	CD4 Naive / T Central Memory:2497; Treg:171; CD4 T Effector Memory:67; not_available:62
T_NK_lineage	8	2750	NK Cell	True	1.7932123221803362	0.7336619360469941	pass	NK Cell:2142; CD8 Cytotoxic / T Effector Memory:286; Blood Cell:121; Plasma Cell:72; CD4 Naive / T Central Memory:58	NK Cell:1793; CD8 Cytotoxic / T Effector Memory:817; T Cell:51; CD4 Naive / T Central Memory:42; CD4 T Effector Memory:28	Blood Cell:1511; NK Cell:1050; CD8 Cytotoxic / T Effector Memory:105; CD8 T Cell (ab):26; ydT Cell:20	NK Cell:2581; Plasmacytoid DC:48; DC:29; Monocyte:28; Plasma Cell:24	not_available:2725; CD4 T Effector Memory:22; CD4 Naive / T Central Memory:3
T_NK_lineage	9	2733	CD4 Naive / T Central Memory	True	3.776147575476709	0.8500000000000001	pass	CD4 Naive / T Central Memory:2670; CD4 T Effector Memory:26; CD8 Naive / T Central Memory:22; Blood Cell:6; Treg:4	CD4 Naive / T Central Memory:2707; CD8 Naive / T Central Memory:25; Treg:1	CD4 Naive / T Central Memory:2040; Blood Cell:307; Treg:174; CD4 T Effector Memory:106; CD4 T Cell (ab):89	CD4 T Cell (ab):1900; T Cell:826; CD8 T Cell (ab):3; Monocyte:2; Plasmacytoid DC:1	CD4 Naive / T Central Memory:2678; not_available:45; Treg:6; CD4 T Effector Memory:4
T_NK_lineage	10	2674	CD4 Naive / T Central Memory	True	3.4712396428031176	0.8410221560192721	pass	CD4 Naive / T Central Memory:2517; CD8 Naive / T Central Memory:71; Blood Cell:27; Treg:26; CD8 Cytotoxic / T Effector Memory:15	T Cell:2299; CD4 Naive / T Central Memory:375	CD4 Naive / T Central Memory:1383; Blood Cell:788; Treg:270; CD4 T Effector Memory:85; CD4 T Cell (ab):76	CD4 T Cell (ab):1664; T Cell:329; Monocyte:208; Plasmacytoid DC:171; NK Cell:97	CD4 Naive / T Central Memory:2181; not_available:456; Treg:29; CD4 T Effector Memory:8
T_NK_lineage	11	2598	CD4 Naive / T Central Memory	True	3.618519855952384	0.8370221990466367	pass	CD4 Naive / T Central Memory:2289; CD4 T Effector Memory:164; Blood Cell:59; CD8 Naive / T Central Memory:38; Treg:23	CD4 Naive / T Central Memory:2560; CD8 Naive / T Central Memory:30; Plasmablast:6; Treg:2	CD4 Naive / T Central Memory:1115; CD4 T Cell (ab):697; Treg:409; Blood Cell:258; CD4 T Effector Memory:117	CD4 T Cell (ab):1547; T Cell:1026; CD8 T Cell (ab):10; Monocyte:9; Plasmacytoid DC:3	CD4 Naive / T Central Memory:2505; not_available:47; Treg:35; CD4 T Effector Memory:11
T_NK_lineage	12	2242	CD4 Naive / T Central Memory	True	3.493944548873013	0.8465208995177862	pass	CD4 Naive / T Central Memory:2083; Blood Cell:42; CD4 T Effector Memory:38; CD8 Naive / T Central Memory:31; Treg:23	T Cell:1537; CD4 Naive / T Central Memory:688; Treg:14; CD8 Naive / T Central Memory:2; CD4 T Cell (ab):1	CD4 Naive / T Central Memory:1072; Blood Cell:424; Treg:371; CD4 T Effector Memory:179; CD4 T Cell (ab):170	CD4 T Cell (ab):1326; T Cell:320; Monocyte:206; DC:111; Plasmacytoid DC:92	CD4 Naive / T Central Memory:1858; not_available:335; Treg:38; CD4 T Effector Memory:11
T_NK_lineage	13	2193	CD8 Cytotoxic / T Effector Memory	True	1.0336757884282075	0.6590857734943447	pass	CD8 Cytotoxic / T Effector Memory:677; MAIT Cell:508; CD4 Naive / T Central Memory:417; Blood Cell:257; NK Cell:109	T Cell:654; CD8 Cytotoxic / T Effector Memory:589; MAIT Cell:571; CD4 Naive / T Central Memory:289; CD4 T Effector Memory:39	Blood Cell:827; MAIT Cell:318; CD4 T Cell (ab):257; CD8 Cytotoxic / T Effector Memory:236; CD4 T Effector Memory:177	CD4 T Cell (ab):1012; NK Cell:461; T Cell:246; CD8 T Cell (ab):142; Monocyte:124	not_available:1361; CD4 T Effector Memory:709; CD4 Naive / T Central Memory:119; Treg:4
T_NK_lineage	14	1947	CD4 Naive / T Central Memory	True	1.4682147942257031	0.8194850863483594	pass	CD4 Naive / T Central Memory:915; CD4 T Effector Memory:670; Blood Cell:122; Treg:118; CD8 Cytotoxic / T Effector Memory:73	CD4 Naive / T Central Memory:1180; T Cell:626; CD4 T Effector Memory:64; Treg:48; MAIT Cell:15	CD4 T Effector Memory:666; Treg:555; CD4 T Cell (ab):306; Blood Cell:294; CD4 Naive / T Central Memory:114	CD4 T Cell (ab):1353; Monocyte:225; T Cell:148; DC:59; Plasma Cell:50	CD4 Naive / T Central Memory:1373; not_available:294; CD4 T Effector Memory:193; Treg:87
T_NK_lineage	15	1496	NK Cell	True	1.8315844440431452	0.7331063708159731	pass	NK Cell:1189; CD8 Cytotoxic / T Effector Memory:123; ydT Cell:73; Blood Cell:61; Plasma Cell:16	NK Cell:1036; CD8 Cytotoxic / T Effector Memory:424; T Cell:11; Plasmacytoid DC:10; ydT Cell:5	Blood Cell:681; NK Cell:630; CD8 Cytotoxic / T Effector Memory:120; CD8 T Cell (ab):38; ydT Cell:9	NK Cell:1402; Plasmacytoid DC:35; CD8 T Cell (ab):16; T Cell:11; Plasma Cell:11	not_available:1483; CD4 T Effector Memory:13
T_NK_lineage	16	1458	MAIT Cell	True	2.006296797748201	0.74	pass	MAIT Cell:1031; CD8 Cytotoxic / T Effector Memory:228; CD4 T Effector Memory:104; Blood Cell:61; NK Cell:15	MAIT Cell:671; CD4 Naive / T Central Memory:528; ydT Cell:92; Plasmablast:85; CD8 Cytotoxic / T Effector Memory:40	MAIT Cell:494; Blood Cell:375; CD4 T Cell (ab):247; ydT Cell:133; CD8 Cytotoxic / T Effector Memory:92	T Cell:597; CD4 T Cell (ab):467; NK Cell:221; CD8 T Cell (ab):167; Plasma Cell:3	not_available:1354; CD4 T Effector Memory:86; CD4 Naive / T Central Memory:15; Plasma Cell:3
