study	predicted_cell_type	n_cells	median_source_agreement_fraction	source_disagreement_flag_n	source_disagreement_flag_fraction
vaccination_study_09	NK Cell	9374	1.0	283	0.0301898869212716
vaccination_study_09	Naive B Cell	11350	0.8	1370	0.1207048458149779
vaccination_study_09	Non-Classical Monocyte	3072	1.0	26	0.0084635416666666
vaccination_study_09	Plasma Cell	425	0.2	267	0.6282352941176471
vaccination_study_09	Plasmacytoid DC	803	1.0	7	0.0087173100871731
vaccination_study_09	Platelet	84	1.0	0	0.0
vaccination_study_10	B Cell	5903	0.0	0	0.0
vaccination_study_10	Blood Cell	17560	0.0	0	0.0
vaccination_study_10	Myeloid Cell	9534	0.0	0	0.0
vaccination_study_10	T Cell	14514	0.0	0	0.0
